iteration,evaluation,sigma,axis ratio,bestever,best,median,worst objective function value,further objective values of best
1,20,9.751677078582413,1.000049763142906,-1000087.2091190948,-1.0000872091190948e+06,-999985.2729630313,-999916.2631434324
2,40,9.546438291180438,1.000049763142906,-1000098.8045900144,-1.0000988045900144e+06,-1000033.94724422,-999957.463141631
3,60,9.376505136228428,1.0122677795844996,-1000146.478940313,-1.0001464789403130e+06,-1000078.2833450504,-999986.5112601558
4,80,9.23463001787797,1.0122677795844996,-1000210.7644536535,-1.0002107644536535e+06,-1000105.2043420274,-1000058.1462139232
5,100,9.117639145863832,1.0141970228535184,-1000234.989334048,-1.0002349893340480e+06,-1000174.5761410183,-1000113.1925105902
6,120,9.0260300891262,1.0141970228535184,-1000341.4384714216,-1.0003414384714216e+06,-1000236.0677198167,-1000156.1156360864
7,140,8.95018768376016,1.015741394292167,-1000361.5826069083,-1.0003615826069083e+06,-1000284.6349283494,-1000207.006049074
8,160,8.897135547357685,1.015741394292167,-1000434.5012875583,-1.0004345012875583e+06,-1000329.0898766402,-1000249.4740947624
9,180,8.864892570810031,1.0194424787198613,-1000499.8677582591,-1.0004998677582591e+06,-1000390.9664410657,-1000230.0129894492
10,200,8.842214114174782,1.0194424787198613,-1000554.2009938587,-1.0005542009938587e+06,-1000434.152950316,-1000004.3536406591
11,220,8.82828078809433,1.0246632851426956,-1000588.5337038189,-1.0005885337038189e+06,-1000497.2074669505,-1000295.9710344994
12,240,8.827857392233875,1.0246632851426956,-1000628.3707346313,-1.0006283707346313e+06,-1000542.1865737664,-1000392.5678378528
13,260,8.839268320320837,1.0302358058537902,-1000665.7123240068,-1.0006657123240068e+06,-1000601.8228203782,-1000553.7528184254
14,280,8.848959034848718,1.0302358058537902,-1000702.7293463943,-1.0007027293463943e+06,-1000651.5024691648,-1000510.6996379031
15,300,8.870949677710566,1.036411630596267,-1000778.8365690216,-1.0007788365690216e+06,-1000700.6994086143,-1000637.3598839868
16,320,8.901682102439025,1.036411630596267,-1000805.61681261,-1.0008056168126100e+06,-1000743.776314698,-1000686.4522535619
17,340,8.936340604904752,1.0430643579995782,-1000856.9862252444,-1.0008569862252444e+06,-1000773.1865851965,-1000720.9323607439
18,360,8.981904912772398,1.0430643579995782,-1000912.5781520446,-1.0009125781520446e+06,-1000848.2966443426,-1000771.6366421774
19,380,9.039398812964869,1.0499068691395583,-1000964.1363771909,-1.0009641363771909e+06,-1000874.7878462636,-1000778.7613084387
20,400,9.105228187985366,1.0499068691395583,-1001013.7623039575,-1.0010137623039575e+06,-1000920.3419472205,-1000818.5819628611
21,420,9.176014180306261,1.0577583730599283,-1001021.118119291,-1.0010211181192910e+06,-1000977.6343693961,-1000902.2766425523
22,440,9.252528320969901,1.0577583730599283,-1001069.2973605251,-1.0010692973605251e+06,-1001026.1186436323,-1000906.13610843
23,460,9.330391423910397,1.0665539827017285,-1001101.6947027002,-1.0011016947027002e+06,-1001035.79681858,-1000977.2706923673
24,480,9.417739950355234,1.0665539827017285,-1001148.857425952,-1.0011488574259520e+06,-1001077.3178970276,-1000995.413107808
25,500,9.503077041993954,1.0756999855035478,-1001167.1593909437,-1.0011671593909437e+06,-1001112.573215675,-1001052.0040515072
26,520,9.598218797031219,1.0756999855035478,-1001226.0775181546,-1.0012260775181546e+06,-1001151.9312183473,-1001094.7005627601
27,540,9.697890160872642,1.085606859077846,-1001276.1748201702,-1.0012761748201702e+06,-1001209.2625082812,-1001030.3463463438
28,560,9.79958081234124,1.085606859077846,-1001308.1855719564,-1.0013081855719564e+06,-1001240.8455862502,-1001170.5871073257
29,580,9.910532507335109,1.0960635690278295,-1001351.6620138783,-1.0013516620138783e+06,-1001285.1944522855,-1001174.630190958
30,600,10.0304461253597,1.0960635690278295,-1001389.7758012186,-1.0013897758012186e+06,-1001322.8297298984,-1001234.9342973392
31,620,10.157504054608825,1.106769664177155,-1001469.2874689973,-1.0014692874689973e+06,-1001360.1332978639,-1001278.0770442158
32,640,10.301125076018693,1.106769664177155,-1001530.299960646,-1.0015302999606460e+06,-1001421.9249489094,-1001350.5595529807
33,660,10.45849621966619,1.1169812269776278,-1001586.9560762695,-1.0015869560762695e+06,-1001501.449730569,-1001409.368625201
34,680,10.631465759828655,1.1169812269776278,-1001611.0977994803,-1.0016110977994803e+06,-1001557.5274700862,-1001456.3031346115
35,700,10.798091426829364,1.1270957158389625,-1001643.074153837,-1.0016430741538370e+06,-1001572.3269414278,-1001489.3529633244
36,720,10.976352845547801,1.1270957158389625,-1001707.2825638475,-1.0017072825638475e+06,-1001620.138159701,-1001437.9324665141
37,740,11.147203104937944,1.1362999540455005,-1001753.6391808201,-1.0017536391808201e+06,-1001701.3334165901,-1001554.937161993
38,760,11.330476000642985,1.1362999540455005,-1001796.7183759618,-1.0017967183759618e+06,-1001703.1251252973,-1001606.4159175608
39,780,11.530952797298234,1.144434602604952,-1001932.4070192067,-1.0019324070192067e+06,-1001763.0940847229,-1001668.1747313028
40,800,11.738002070744738,1.144434602604952,-1001962.1848162087,-1.0019621848162087e+06,-1001856.543335067,-1001804.3945812045
41,820,11.947849155981155,1.1527635782103378,-1002017.9787193835,-1.0020179787193835e+06,-1001907.9711228795,-1001813.9384971883
42,840,12.169737147398395,1.1527635782103378,-1002095.6293040395,-1.0020956293040395e+06,-1001962.6614309312,-1001853.6022927972
43,860,12.397020864446686,1.159616858281047,-1002134.7975443801,-1.0021347975443801e+06,-1002041.2780973676,-1001968.911881184
