% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=2091106904, Sun Apr 21 21:20:07 2024, <python>{}</python>
1 49 9.953089230001096 1.000049763142906 -1000145.6962154816 -1.0001456962154816e+06 -999996.4338231204 -999905.141674913   
2 98 9.919278663793103 1.000049763142906 -1001200.3510979409 -1.0012003510979409e+06 -1001134.2556379656 -1001001.8256359716   
3 147 9.89717564751313 1.000049763142906 -1002283.6568955691 -1.0022836568955691e+06 -1002183.3622784214 -1002089.3986570301   
4 196 9.882064729672383 1.000049763142906 -1003704.3675953692 -1.0037043675953692e+06 -1003595.2704931884 -1003476.3172775498   
5 245 9.871675536417971 1.000049763142906 -1005161.6690105074 -1.0051616690105074e+06 -1005056.2321945252 -1004916.6103044504   
6 294 9.868913336825976 1.000049763142906 -1006050.2878846328 -1.0060502878846328e+06 -1005952.411989093 -1005827.2025891007   
7 343 9.871805882953863 1.000049763142906 -1007599.6908879154 -1.0075996908879154e+06 -1007529.238599879 -1007426.0378322226   
8 392 9.879034421221704 1.000049763142906 -1009226.9516180872 -1.0092269516180872e+06 -1009024.4724029562 -1008869.1866820382   
9 441 9.883278309882643 1.000049763142906 -1009226.9516180872 -1.0024352766535558e+06 -1001643.0214968524 -1001241.874508082   
10 490 9.888291935619467 1.000049763142906 -1009226.9516180872 -1.0086485943393437e+06 -1008568.0881416326 -1008440.1337586857   
11 539 9.896194993720133 1.000049763142906 -1010047.5892977302 -1.0100475892977302e+06 -1009889.4815968485 -1009426.9166208762   
12 588 9.904978405756095 1.000049763142906 -1010547.3089359847 -1.0105473089359847e+06 -1010360.9115967096 -1010156.6763170001   
13 637 9.915212280330444 1.000049763142906 -1010547.3089359847 -1.0059133504905199e+06 -1005153.3668044148 -1004251.7635741772   
14 686 9.927098109290949 1.000049763142906 -1010547.3089359847 -1.0103995876935971e+06 -1010267.5788241532 -1010129.2364389685   
15 735 9.937135611625582 1.000049763142906 -1010547.3089359847 -1.0058594899344490e+06 -1004940.2954651889 -1004124.7618457129   
16 784 9.951609560583291 1.000049763142906 -1010547.3089359847 -1.0104720242448747e+06 -1010264.9064084182 -1010084.3643010724   
17 833 9.96514314312745 1.000049763142906 -1010547.3089359847 -1.0091018837416027e+06 -1008415.0861920905 -1007759.3944735731   
18 882 9.980797598733549 1.000049763142906 -1010664.5522919651 -1.0106645522919651e+06 -1010433.2412651294 -1010204.0639769558   
19 931 9.99137594712741 1.000049763142906 -1010705.1552345434 -1.0107051552345434e+06 -1010046.80356571 -1009303.4920282669   
20 980 10.000872750263234 1.000049763142906 -1011580.4492816627 -1.0115804492816627e+06 -1011419.9835041268 -1011249.2213670863   
