date,stocks,budget,bought_stocks,cost,total_cost,budget_after_trans,stocks_after_trans
2020-01-01,0,1000000,0,1.1220825910568235,0.0,1000000.0,0
2020-01-02,0,1000000.0,0,1.1220825910568235,0.0,1000000.0,0
2020-01-03,0,1000000.0,0,1.1171437501907349,0.0,1000000.0,0
2020-01-06,0,1000000.0,0,1.1161960363388062,0.0,1000000.0,0
2020-01-07,0,1000000.0,0,1.1197994947433472,0.0,1000000.0,0
2020-01-08,0,1000000.0,0,1.1154738664627075,0.0,1000000.0,0
2020-01-09,0,1000000.0,0,1.1113210916519165,0.0,1000000.0,0
2020-01-10,0,1000000.0,0,1.1111111640930176,0.0,1000000.0,0
2020-01-13,0,1000000.0,0,1.111666917800903,0.0,1000000.0,0
2020-01-14,0,1000000.0,0,1.1135733127593994,0.0,1000000.0,0
2020-01-15,0,1000000.0,0,1.113089919090271,0.0,1000000.0,0
2020-01-16,0,1000000.0,0,1.1154004335403442,0.0,1000000.0,0
2020-01-17,0,1000000.0,0,1.1139578819274902,0.0,1000000.0,0
2020-01-20,0,1000000.0,0,1.1094592809677124,0.0,1000000.0,0
2020-01-21,0,1000000.0,0,1.109693169593811,0.0,1000000.0,0
2020-01-22,0,1000000.0,0,1.108561396598816,0.0,1000000.0,0
2020-01-23,0,1000000.0,0,1.1096439361572266,0.0,1000000.0,0
2020-01-24,0,1000000.0,0,1.1055220365524292,0.0,1000000.0,0
2020-01-27,0,1000000.0,0,1.102535843849182,0.0,1000000.0,0
2020-01-28,0,1000000.0,0,1.101976990699768,0.0,1000000.0,0
2020-01-29,0,1000000.0,0,1.1022562980651855,0.0,1000000.0,0
2020-01-30,0,1000000.0,0,1.1016855239868164,0.0,1000000.0,0
2020-01-31,0,1000000.0,0,1.1029127836227417,0.0,1000000.0,0
2020-02-03,0,1000000.0,0,1.1089794635772705,0.0,1000000.0,0
2020-02-04,0,1000000.0,0,1.1062926054000854,0.0,1000000.0,0
2020-02-05,0,1000000.0,0,1.1047282218933103,0.0,1000000.0,0
2020-02-06,0,1000000.0,0,1.100231051445007,0.0,1000000.0,0
2020-02-07,0,1000000.0,0,1.0982975959777832,0.0,1000000.0,0
2020-02-10,0,1000000.0,0,1.0949305295944214,0.0,1000000.0,0
2020-02-11,0,1000000.0,0,1.0913456678390503,0.0,1000000.0,0
2020-02-12,0,1000000.0,0,1.091941475868225,0.0,1000000.0,0
2020-02-13,0,1000000.0,0,1.0875948667526243,0.0,1000000.0,0
2020-02-14,0,1000000.0,0,1.0845986604690552,0.0,1000000.0,0
2020-02-17,0,1000000.0,0,1.0841753482818604,0.0,1000000.0,0
2020-02-18,0,1000000.0,0,1.0840108394622805,0.0,1000000.0,0
2020-02-19,0,1000000.0,0,1.079540491104126,0.0,1000000.0,0
2020-02-20,0,1000000.0,0,1.081009864807129,0.0,1000000.0,0
2020-02-21,0,1000000.0,0,1.078799843788147,0.0,1000000.0,0
2020-02-24,0,1000000.0,0,1.0839051008224487,0.0,1000000.0,0
2020-02-25,0,1000000.0,45,1.0849199295043943,49.30961079597473,999950.6903892041,45
2020-02-26,45,999950.6903892041,668,1.0881996154785156,734.1865165710449,999216.503872633,713
2020-02-27,713,999216.503872633,998,1.088589429855347,1097.2763735055926,998119.2274991274,1711
2020-02-28,1711,998119.2274991274,1716,1.0997228622436523,1905.9956759262086,996213.2318232012,3427
2020-03-02,3427,996213.2318232012,2640,1.1051311492919922,2946.721696472168,993266.510126729,6067
2020-03-03,6067,993266.510126729,2861,1.114404797554016,3220.19524706006,990046.314879669,8928
2020-03-04,8928,990046.314879669,1949,1.118067979812622,2200.9056375813484,987845.4092420876,10877
2020-03-05,10877,987845.4092420876,1438,1.113908290863037,1617.818123483658,986227.591118604,12315
2020-03-06,12315,986227.591118604,1053,1.1223849058151243,1193.6900188815591,985033.9010997224,13368
2020-03-09,13368,985033.9010997224,431,1.1386020183563232,495.64484461069105,984538.2562551117,13799
2020-03-10,13799,984538.2562551117,-759,1.139796018600464,-856.4541263365746,985394.7103814483,13040
2020-03-11,13040,985394.7103814483,-1780,1.1316505670547483,-1994.1946292638775,987388.9050107121,11260
2020-03-12,11260,987388.9050107121,-2709,1.1261515617370603,-3020.2371349382397,990409.1421456503,8551
2020-03-13,8551,990409.1421456503,-2975,1.1184931993484497,-3294.2420953810215,993703.3842410314,5576
2020-03-16,5576,993703.3842410314,-3111,1.115536093711853,-3435.728459662199,997139.1127006935,2465
2020-03-17,2465,997139.1127006935,-2465,1.1163206100463867,-2724.2130007266996,999863.3257014202,0
2020-03-18,0,999863.3257014202,0,1.101552128791809,0.0,999863.3257014202,0
2020-03-19,0,999863.3257014202,0,1.0961546897888184,0.0,999863.3257014202,0
2020-03-20,0,999863.3257014202,0,1.0657345056533811,0.0,999863.3257014202,0
2020-03-23,0,999863.3257014202,0,1.0694386959075928,0.0,999863.3257014202,0
2020-03-24,0,999863.3257014202,0,1.0764610767364502,0.0,999863.3257014202,0
2020-03-25,0,999863.3257014202,0,1.080263614654541,0.0,999863.3257014202,0
2020-03-26,0,999863.3257014202,0,1.0889569520950315,0.0,999863.3257014202,0
2020-03-27,0,999863.3257014202,0,1.1048258543014526,0.0,999863.3257014202,0
2020-03-30,0,999863.3257014202,0,1.113908290863037,0.0,999863.3257014202,0
2020-03-31,0,999863.3257014202,0,1.1030466556549072,0.0,999863.3257014202,0
2020-04-01,0,999863.3257014202,0,1.102657437324524,0.0,999863.3257014202,0
2020-04-02,0,999863.3257014202,0,1.0953621864318848,0.0,999863.3257014202,0
2020-04-03,0,999863.3257014202,0,1.0847399234771729,0.0,999863.3257014202,0
2020-04-06,0,999863.3257014202,0,1.0806955099105835,0.0,999863.3257014202,0
2020-04-07,0,999863.3257014202,0,1.0803803205490112,0.0,999863.3257014202,0
2020-04-08,0,999863.3257014202,0,1.0895144939422607,0.0,999863.3257014202,0
2020-04-09,0,999863.3257014202,217,1.0863661766052246,238.09887492656708,999625.2268264936,217
2020-04-10,217,999625.2268264936,1239,1.0927408933639526,1367.4450265467167,998257.7817999469,1456
2020-04-13,1456,998257.7817999469,1678,1.0932666063308716,1852.8463790774344,996404.9354208695,3134
2020-04-14,3134,996404.9354208695,1707,1.0922993421554563,1883.2005268299574,994521.7348940396,4841
2020-04-15,4841,994521.7348940396,2226,1.098538875579834,2469.8010124111174,992051.9338816284,7067
2020-04-16,7067,992051.9338816284,1230,1.0905101299285889,1354.740734410286,990697.1931472182,8297
2020-04-17,8297,990697.1931472182,747,1.0858471393585205,819.239091231823,989877.9540559864,9044
2020-04-20,9044,989877.9540559864,899,1.0866966247558594,986.7096683120727,988891.2443876743,9943
2020-04-21,9943,988891.2443876743,802,1.0864840745925903,880.07383010149,988011.1705575727,10745
2020-04-22,10745,988011.1705575727,1077,1.0856467485427856,1180.9339636623858,986830.2365939104,11822
2020-04-23,11822,986830.2365939104,189,1.080964207649231,206.3452575981617,986623.8913363122,12011
2020-04-24,12011,986623.8913363122,266,1.077702283859253,289.5354955816269,986334.3558407306,12277
2020-04-27,12277,986334.3558407306,1357,1.08236825466156,1483.4614587914944,984850.8943819391,13634
2020-04-28,13634,984850.8943819391,1719,1.0824854373931885,1879.4003915476799,982971.4939903914,15353
