Date,Open,High,Low,Close,Volume
2022-01-03,115.13600158691406,115.36000061035156,114.9739990234375,115.14199829101562,0
2022-01-04,115.31600189208984,116.33999633789062,115.29900360107422,115.3280029296875,0
2022-01-05,116.16500091552734,116.23500061035156,115.62699890136719,116.17400360107422,0
2022-01-06,116.12899780273438,116.17900085449219,115.65399932861328,116.12799835205078,0
2022-01-07,115.87000274658203,116.02999877929688,115.59100341796875,115.86499786376953,0
2022-01-10,115.62200164794922,115.84200286865234,115.04499816894531,115.61799621582031,0
2022-01-11,115.28299713134766,115.6760025024414,115.13700103759766,115.27799987792969,0
2022-01-12,115.33100128173828,115.45899963378906,114.71499633789062,115.33100128173828,0
2022-01-13,114.66999816894531,114.69200134277344,114.00599670410156,114.67500305175781,0
2022-01-14,114.10099792480469,114.1709976196289,113.50499725341797,114.11799621582031,0
2022-01-17,114.30599975585938,114.63600158691406,114.28399658203125,114.30599975585938,0
2022-01-18,114.57099914550781,115.03099822998047,114.44999694824219,114.57099914550781,0
2022-01-19,114.55599975585938,114.76799774169922,114.22100067138672,114.55400085449219,0
2022-01-20,114.34700012207031,114.53099822998047,113.97799682617188,114.34700012207031,0
2022-01-21,113.94599914550781,114.01799774169922,113.61900329589844,113.99299621582031,0
2022-01-24,113.78600311279297,113.98999786376953,113.48899841308594,113.78500366210938,0
2022-01-25,114.01499938964844,114.14399719238281,113.67500305175781,114.01100158691406,0
2022-01-26,113.89099884033203,114.37699890136719,113.78800201416016,113.875,0
2022-01-27,114.71700286865234,115.48100280761719,114.48600006103516,114.72100067138672,0
2022-01-28,115.36799621582031,115.66999816894531,115.13700103759766,115.35199737548828,0
2022-01-31,115.23899841308594,115.5770034790039,115.1760025024414,115.26200103759766,0
2022-02-01,115.14399719238281,115.19200134277344,114.56800079345703,115.12100219726562,0
2022-02-02,114.7249984741211,114.7959976196289,114.19300079345703,114.73600006103516,0
2022-02-03,114.36799621582031,114.96900177001953,114.32599639892578,114.38200378417969,0
2022-02-04,114.96900177001953,115.4260025024414,114.78099822998047,114.95700073242188,0
2022-02-07,115.24600219726562,115.37300109863281,114.91899871826172,115.2239990234375,0
2022-02-08,115.06600189208984,115.61799621582031,115.06600189208984,115.06300354003906,0
2022-02-09,115.54199981689453,115.58300018310547,115.31900024414062,115.53099822998047,0
2022-02-10,115.5999984741211,116.3239974975586,115.48500061035156,115.60199737548828,0
2022-02-11,116.04900360107422,116.16600036621094,115.7760009765625,116.0469970703125,0
2022-02-14,115.55899810791016,115.7239990234375,115.0199966430664,115.58399963378906,0
2022-02-15,115.54199981689453,115.86900329589844,115.25599670410156,115.53600311279297,0
2022-02-16,115.63999938964844,115.77400207519531,115.39099884033203,115.63500213623047,0
2022-02-17,115.39399719238281,115.52799987792969,114.86100006103516,115.38700103759766,0
2022-02-18,114.85600280761719,115.26399993896484,114.78700256347656,114.86599731445312,0
2022-02-21,114.95600128173828,115.10600280761719,114.79900360107422,114.96099853515625,0
2022-02-22,114.58300018310547,115.23200225830078,114.5260009765625,114.60900115966797,0
2022-02-23,115.10199737548828,115.18499755859375,114.96700286865234,115.09600067138672,0
2022-02-24,114.91600036621094,115.6259994506836,114.41400146484375,114.89800262451172,0
2022-02-25,115.5469970703125,115.63099670410156,115.1520004272461,115.57099914550781,0
2022-02-28,115.58799743652344,115.64700317382812,115.09300231933594,115.58499908447266,0
2022-03-01,115.08200073242188,115.26499938964844,114.71900177001953,115.0780029296875,0
2022-03-02,114.81500244140625,115.68000030517578,114.79499816894531,114.83300018310547,0
2022-03-03,115.49700164794922,115.80000305175781,115.49500274658203,115.51899719238281,0
2022-03-04,115.4800033569336,115.53299713134766,114.6510009765625,115.4739990234375,0
2022-03-07,114.93699645996094,115.47100067138672,114.84200286865234,114.94999694824219,0
2022-03-08,115.36900329589844,115.7760009765625,115.33200073242188,115.37300109863281,0
2022-03-09,115.74199676513672,115.94100189208984,115.5790023803711,115.72200012207031,0
2022-03-10,115.91100311279297,116.19000244140625,115.81999969482422,115.90899658203125,0
2022-03-11,116.15899658203125,117.16400146484375,116.1500015258789,116.17900085449219,0
